Year,Make,Model,Price,Miles,Rating,Source
2023,Nissan,Frontier Crew Cab,37990.0,13395,PRO-4X Pickup 4D 5 ft,Source.CARVANA
2023,Toyota,RAV4 Hybrid,35990.0,29052,Woodland Edition Sport Utility 4D,Source.CARVANA
2023,Kia,K5,27990.0,30681,GT-Line Sedan 4D,Source.CARVANA
2018,Volkswagen,Golf R,33590.0,28867,Hatchback Sedan 4D,Source.CARVANA
2021,MAZDA,MAZDA3,30590.0,12221,Premium Plus Hatchback 4D,Source.CARVANA
2016,BMW,3 Series,18990.0,47157,320i Sedan 4D,Source.CARVANA
2018,Audi,A5,27990.0,34513,Premium Plus Sedan 4D,Source.CARVANA
2020,Audi,Q5,24990.0,66707,45 TFSI Titanium Premium Sport Utility 4D,Source.CARVANA
2015,Ford,Mustang,32590.0,18645,GT Premium Coupe 2D,Source.CARVANA
2017,Audi,A4,22590.0,63268,Premium Plus Sedan 4D,Source.CARVANA
2021,Jeep,Grand Cherokee,29990.0,19749,Freedom Sport Utility 4D,Source.CARVANA
2013,Cadillac,CTS,19590.0,56209,3.6 Premium Collection Sport Wagon 4D,Source.CARVANA
2020,Jeep,Wrangler Unlimited,40990.0,25368,Rubicon Sport Utility 4D,Source.CARVANA
2016,Toyota,Tacoma Double Cab,30990.0,17973,SR5 Pickup 4D 5 ft,Source.CARVANA
2017,Volvo,S60,20990.0,38442,T5 Inscription Platinum Sedan 4D,Source.CARVANA
2016,Lexus,RX,28990.0,60185,RX 350 F Sport SUV 4D,Source.CARVANA
2020,Ford,Ranger SuperCrew,23990.0,60392,XL Pickup 4D 5 ft,Source.CARVANA
2018,Nissan,370Z,26990.0,48402,Roadster 2D,Source.CARVANA
2015,MINI,Hardtop 4 Door,17590.0,31257,Cooper Hatchback 4D,Source.CARVANA
2019,Ford,Ranger SuperCrew,27990.0,61369,XLT Pickup 4D 5 ft,Source.CARVANA
2020,Audi,SQ5,34590.0,26827,Premium Plus Sport Utility 4D,Source.CARVANA
2023,Chevrolet,Colorado Crew Cab,40590.0,20505,Trail Boss Pickup 4D 5 ft,Source.CARVANA
