Year,Make,Model,Price,Miles,Rating,Source
2021,Chevrolet,Equinox LS with 1LS FWD,20504,22000,Excellent Price,Source.CAR_AND_DRIVER
2021,Chevrolet,Bolt EV Premier,17900,47000,Excellent Price,Source.CAR_AND_DRIVER
2022,Volkswagen,Atlas 3.6L V6 SE with Technology 4MOTION,28449,49000,Excellent Price,Source.CAR_AND_DRIVER
2022,Kia,Sportage LX FWD,16522,61000,Excellent Price,Source.CAR_AND_DRIVER
2021,Hyundai,Elantra Limited IVT (alt),19998,32000,Excellent Price,Source.CAR_AND_DRIVER
2023,Nissan,Murano AWD SV,28204,7000,Excellent Price,Source.CAR_AND_DRIVER
2020,Chevrolet,Equinox LT with 1LT FWD,17389,60000,Great Price,Source.CAR_AND_DRIVER
2022,Buick,Encore GX Preferred AWD,21900,11000,Excellent Price,Source.CAR_AND_DRIVER
2023,Nissan,Sentra SV,19450,26000,Excellent Price,Source.CAR_AND_DRIVER
2020,Jaguar,F-PACE Prestige 25t,26998,65000,Excellent Price,Source.CAR_AND_DRIVER
2020,Chevrolet,Trax LT FWD,15822,56000,Great Price,Source.CAR_AND_DRIVER
2020,Nissan,Altima 2.5 SL FWD,23998,23000,Great Price,Source.CAR_AND_DRIVER
2021,Buick,Enclave Essence AWD,23436,76000,Excellent Price,Source.CAR_AND_DRIVER
2020,Kia,Soul LX IVT,14985,48000,Excellent Price,Source.CAR_AND_DRIVER
2022,Chrysler,Pacifica Touring L FWD,21979,65000,Excellent Price,Source.CAR_AND_DRIVER
2020,Honda,Accord Hybrid Touring CVT,28469,34000,Great Price,Source.CAR_AND_DRIVER
2021,Mazda,CX-5 Touring AWD,22320,52000,Great Price,Source.CAR_AND_DRIVER
2022,Toyota,Camry SE Automatic FWD,21500,59000,Excellent Price,Source.CAR_AND_DRIVER
2021,Lexus,UX UX 250h AWD,27313,41000,Excellent Price,Source.CAR_AND_DRIVER
2022,Nissan,Rogue SV FWD,20260,51000,Excellent Price,Source.CAR_AND_DRIVER
2022,Nissan,Murano AWD SV,23891,47000,Great Price,Source.CAR_AND_DRIVER
2021,Hyundai,Sonata SEL,19299,45000,Great Price,Source.CAR_AND_DRIVER
2022,Audi,Q5 Premium Plus S line SUV,29997,41000,Excellent Price,Source.CAR_AND_DRIVER
2022,Jeep,Grand Cherokee WK Limited RWD,27166,51000,Excellent Price,Source.CAR_AND_DRIVER
2023,Chevrolet,Bolt EUV LT,16900,40000,Excellent Price,Source.CAR_AND_DRIVER
2021,Honda,Civic Sport Sedan CVT,21000,26000,Excellent Price,Source.CAR_AND_DRIVER
2021,Ford,Bronco Sport Big Bend,21995,75000,Great Price,Source.CAR_AND_DRIVER
2021,Chevrolet,Express Cargo Van 2500 SWB,26644,66000,Great Price,Source.CAR_AND_DRIVER
2021,Kia,Sorento S AWD,26998,39000,Great Price,Source.CAR_AND_DRIVER
2021,Nissan,Murano SV AWD,25998,28000,Excellent Price,Source.CAR_AND_DRIVER
2021,Lexus,NX NX 300 AWD,28000,37000,Excellent Price,Source.CAR_AND_DRIVER
2022,Toyota,Camry SE Automatic FWD,25998,22000,Great Price,Source.CAR_AND_DRIVER
2022,Buick,Encore GX Select FWD,20900,29000,Excellent Price,Source.CAR_AND_DRIVER
2023,Jeep,Cherokee Altitude 4WD,29749,9000,Great Price,Source.CAR_AND_DRIVER
2021,Honda,HR-V LX AWD,19070,58000,Great Price,Source.CAR_AND_DRIVER
2023,Nissan,Altima 2.5 SR FWD,24725,6000,Great Price,Source.CAR_AND_DRIVER
2020,Jeep,Grand Cherokee Laredo E 4WD,22998,51000,Excellent Price,Source.CAR_AND_DRIVER
2022,Volvo,S60 B5 Momentum FWD,22900,71000,Excellent Price,Source.CAR_AND_DRIVER
2021,BMW,3 Series 330i xDrive,26998,51000,Excellent Price,Source.CAR_AND_DRIVER
2022,Kia,Soul LX IVT,15000,64000,Excellent Price,Source.CAR_AND_DRIVER
2020,Honda,CR-V EX-L AWD,26500,19000,Excellent Price,Source.CAR_AND_DRIVER
2022,Nissan,Pathfinder SV 4WD,26829,50000,Excellent Price,Source.CAR_AND_DRIVER
2022,Toyota,Avalon XLE FWD,25341,50000,Great Price,Source.CAR_AND_DRIVER
2020,Kia,Soul S IVT,15995,36000,Excellent Price,Source.CAR_AND_DRIVER
2021,Chevrolet,Equinox LS with 1LS FWD,19672,44000,Excellent Price,Source.CAR_AND_DRIVER
2022,Nissan,Altima 2.5 SV FWD,18698,59000,Excellent Price,Source.CAR_AND_DRIVER
2021,Mazda,Mazda3 2.5 Turbo Premium Plus 5-Door AWD,25991,35000,Great Price,Source.CAR_AND_DRIVER
2022,Hyundai,Elantra SEL IVT,18702,21000,Great Price,Source.CAR_AND_DRIVER
2021,Hyundai,Sonata Limited,25998,23000,Great Price,Source.CAR_AND_DRIVER
2022,Toyota,RAV4 Adventure AWD,27998,51000,Great Price,Source.CAR_AND_DRIVER
2023,Hyundai,Sonata SEL 2.5L,23256,19000,Excellent Price,Source.CAR_AND_DRIVER
2020,Volvo,XC60 T5 R-Design AWD,29876,26000,Excellent Price,Source.CAR_AND_DRIVER
2022,Volvo,S60 B5 Momentum AWD,24500,63000,Excellent Price,Source.CAR_AND_DRIVER
2020,Kia,Soul GT-Line Turbo DCT,20900,13000,Excellent Price,Source.CAR_AND_DRIVER
2021,Chrysler,Pacifica Touring L AWD,28900,45000,Excellent Price,Source.CAR_AND_DRIVER
2020,Chrysler,Pacifica Touring L FWD,20995,79000,Great Price,Source.CAR_AND_DRIVER
2023,Nissan,Murano FWD SV,27288,9000,Excellent Price,Source.CAR_AND_DRIVER
2021,Ford,Escape SEL Hybrid AWD,21778,48000,Excellent Price,Source.CAR_AND_DRIVER
2022,Chrysler,Pacifica Hybrid Touring L FWD,27000,59000,Excellent Price,Source.CAR_AND_DRIVER
2022,Honda,Pilot Special Edition FWD,28995,84000,Great Price,Source.CAR_AND_DRIVER
2023,Nissan,Altima 2.0 SR,26895,5000,Great Price,Source.CAR_AND_DRIVER
2021,Hyundai,Santa Fe SEL FWD,19988,50000,Excellent Price,Source.CAR_AND_DRIVER
2021,Honda,Civic Sport Hatchback CVT,22998,41000,Great Price,Source.CAR_AND_DRIVER
2021,BMW,3 Series 330i xDrive,29998,28000,Excellent Price,Source.CAR_AND_DRIVER
2023,Chevrolet,Traverse LT Cloth with 1LT AWD,24950,3000,Excellent Price,Source.CAR_AND_DRIVER
2022,Toyota,Camry SE Automatic FWD,25430,28000,Great Price,Source.CAR_AND_DRIVER
2024,Hyundai,Kona N Line FWD DCT,26761,13000,Excellent Price,Source.CAR_AND_DRIVER
2023,Ford,Escape Active FWD,23998,13000,Great Price,Source.CAR_AND_DRIVER
2021,Chrysler,Pacifica Touring L FWD,24189,65000,Great Price,Source.CAR_AND_DRIVER
2023,Jeep,Renegade Limited,24998,12000,Excellent Price,Source.CAR_AND_DRIVER
2022,Ford,Maverick XL SuperCrew AWD,25900,10000,Excellent Price,Source.CAR_AND_DRIVER
2021,Nissan,Altima 2.5 SL FWD,22596,29000,Excellent Price,Source.CAR_AND_DRIVER
2023,Nissan,Ariya Venture+ FWD,28559,8000,Excellent Price,Source.CAR_AND_DRIVER
2022,Toyota,RAV4 XLE FWD,24000,57000,Excellent Price,Source.CAR_AND_DRIVER
2021,Nissan,Rogue SV AWD,22651,25000,Great Price,Source.CAR_AND_DRIVER
2022,Volkswagen,Atlas 3.6L V6 SE with Technology 4MOTION,28497,47000,Great Price,Source.CAR_AND_DRIVER
2022,Volkswagen,Tiguan SE R-Line Black 4MOTION,27995,36000,Great Price,Source.CAR_AND_DRIVER
2022,Toyota,Camry SE Automatic FWD,21500,59000,Excellent Price,Source.CAR_AND_DRIVER
2023,Nissan,Sentra SV,18615,28000,Excellent Price,Source.CAR_AND_DRIVER
2021,BMW,X3 sDrive30i RWD,25995,61000,Great Price,Source.CAR_AND_DRIVER
2020,GMC,Terrain Denali AWD,26900,43000,Great Price,Source.CAR_AND_DRIVER
2022,Chrysler,Pacifica Touring L FWD,25219,63000,Great Price,Source.CAR_AND_DRIVER
2021,Jeep,Grand Cherokee WK Freedom 4WD,26400,55000,Excellent Price,Source.CAR_AND_DRIVER
2021,Jeep,Compass Altitude FWD,18822,58000,Great Price,Source.CAR_AND_DRIVER
2022,GMC,Terrain SLT FWD,25991,14000,Great Price,Source.CAR_AND_DRIVER
2023,Kia,Sportage LX AWD,21000,48000,Excellent Price,Source.CAR_AND_DRIVER
2022,Hyundai,Tucson Limited FWD,27998,27000,Great Price,Source.CAR_AND_DRIVER
2021,Mazda,CX-9 Carbon Edition AWD,28495,47000,Great Price,Source.CAR_AND_DRIVER
2022,Hyundai,Sonata N Line,25504,20000,Excellent Price,Source.CAR_AND_DRIVER
2021,Cadillac,XT5 Luxury FWD,28998,26000,Excellent Price,Source.CAR_AND_DRIVER
2022,Chevrolet,Equinox LT with 1LT FWD,20998,25000,Excellent Price,Source.CAR_AND_DRIVER
2021,Nissan,Murano SV AWD,20746,56000,Excellent Price,Source.CAR_AND_DRIVER
2021,Hyundai,Santa Fe SEL FWD,24998,42000,Great Price,Source.CAR_AND_DRIVER
2022,Ram,"1500 Classic Tradesman Quad Cab 6'4"" Box 2WD",25000,43000,Excellent Price,Source.CAR_AND_DRIVER
2021,Jeep,Grand Cherokee WK Limited 4WD,28998,39000,Great Price,Source.CAR_AND_DRIVER
2022,Ford,Edge Titanium,25998,53000,Great Price,Source.CAR_AND_DRIVER
2022,Nissan,Rogue SV AWD,24475,30000,Great Price,Source.CAR_AND_DRIVER
2022,Mazda,CX-5 2.5 Turbo,28176,35000,Excellent Price,Source.CAR_AND_DRIVER
2020,Jaguar,F-PACE Premium 25t,29930,30000,Excellent Price,Source.CAR_AND_DRIVER
2020,Honda,Accord Hybrid Touring CVT,29998,28000,Excellent Price,Source.CAR_AND_DRIVER
2022,Toyota,Corolla SE CVT,22998,18000,Great Price,Source.CAR_AND_DRIVER
